P.k1.,T.k2.,Dry_Price.k3.,Wet_Price.k4.,Capital_cost.k5.,OM_cost.k6.,Sediment.k7.,Seismic.k8.,NPV,Build_decision
0,4,0.042,0.046,200,50,0.6,0,16.93698463,1
20,4,0.042,0.046,200,50,0.6,0,18.35263793,1
40,4,0.042,0.046,200,50,0.6,0,19.84067112,1
-40,6,0.042,0.046,200,50,0.6,0,-11.70293197,0
-20,6,0.042,0.046,200,50,0.6,0,4.450710864,1
0,6,0.042,0.046,200,50,0.6,0,16.73212219,1
20,6,0.042,0.046,200,50,0.6,0,18.07155663,1
40,6,0.042,0.046,200,50,0.6,0,19.4256201,1
-40,0,0.084,0.046,200,50,0.6,0,-5.876821116,0
-20,0,0.084,0.046,200,50,0.6,0,13.88029208,1
0,0,0.084,0.046,200,50,0.6,0,23.42670288,1
20,0,0.084,0.046,200,50,0.6,0,26.50332862,1
40,0,0.084,0.046,200,50,0.6,0,29.68019225,1
-40,2,0.084,0.046,200,50,0.6,0,-7.471493433,0
-20,2,0.084,0.046,200,50,0.6,0,12.0277452,1
0,2,0.084,0.046,200,50,0.6,0,23.10730991,1
20,2,0.084,0.046,200,50,0.6,0,26.10958469,1
40,2,0.084,0.046,200,50,0.6,0,29.22801079,1
-40,4,0.084,0.046,200,50,0.6,0,-8.850438121,0
-20,4,0.084,0.046,200,50,0.6,0,9.913643308,1
0,4,0.084,0.046,200,50,0.6,0,22.60756925,1
20,4,0.084,0.046,200,50,0.6,0,25.43887585,1
40,4,0.084,0.046,200,50,0.6,0,28.41494224,1
-40,6,0.084,0.046,200,50,0.6,0,-9.32918232,0
-20,6,0.084,0.046,200,50,0.6,0,8.59897884,1
0,6,0.084,0.046,200,50,0.6,0,22.19784437,1
20,6,0.084,0.046,200,50,0.6,0,24.87671326,1
40,6,0.084,0.046,200,50,0.6,0,27.5848402,1
-40,0,0.168,0.046,200,50,0.6,0,-0.321073432,0
-20,0,0.168,0.046,200,50,0.6,0,22.98681786,1
0,0,0.168,0.046,200,50,0.6,0,35.58700575,1
20,0,0.168,0.046,200,50,0.6,0,41.74025724,1
40,0,0.168,0.046,200,50,0.6,0,48.09398451,1
-40,2,0.168,0.046,200,50,0.6,0,-2.266459365,0
-20,2,0.168,0.046,200,50,0.6,0,20.85871482,1
0,2,0.168,0.046,200,50,0.6,0,34.94821982,1
20,2,0.168,0.046,200,50,0.6,0,40.95276939,1
40,2,0.168,0.046,200,50,0.6,0,47.18962159,1
-40,4,0.168,0.046,200,50,0.6,0,-4.028049678,0
-20,4,0.168,0.046,200,50,0.6,0,18.35535804,1
0,4,0.168,0.046,200,50,0.6,0,33.94873851,1
20,4,0.168,0.046,200,50,0.6,0,39.61135171,1
40,4,0.168,0.046,200,50,0.6,0,45.56348448,1
-40,6,0.168,0.046,200,50,0.6,0,-4.581683018,0
-20,6,0.168,0.046,200,50,0.6,0,16.89551479,1
0,6,0.168,0.046,200,50,0.6,0,33.12928875,1
20,6,0.168,0.046,200,50,0.6,0,38.48702653,1
40,6,0.168,0.046,200,50,0.6,0,43.90328039,1
-40,0,0.042,0.092,200,50,0.6,0,4.912736243,1
-20,0,0.042,0.092,200,50,0.6,0,39.1007955,1
0,0,0.042,0.092,200,50,0.6,0,53.61295144,1
20,0,0.042,0.092,200,50,0.6,0,55.15126431,1
40,0,0.042,0.092,200,50,0.6,0,56.73969613,1
-40,2,0.042,0.092,200,50,0.6,0,2.249462033,1
-20,2,0.042,0.092,200,50,0.6,0,35.80903598,1
0,2,0.042,0.092,200,50,0.6,0,53.45325495,1
20,2,0.042,0.092,200,50,0.6,0,54.95439235,1
40,2,0.042,0.092,200,50,0.6,0,56.5136054,1
-40,4,0.042,0.092,200,50,0.6,0,0.065541094,1
-20,4,0.042,0.092,200,50,0.6,0,32.16471452,1
0,4,0.042,0.092,200,50,0.6,0,53.20338463,1
20,4,0.042,0.092,200,50,0.6,0,54.61903793,1
40,4,0.042,0.092,200,50,0.6,0,56.10707112,1
-40,6,0.042,0.092,200,50,0.6,0,-0.779613592,0
-20,6,0.042,0.092,200,50,0.6,0,29.75315375,1
0,6,0.042,0.092,200,50,0.6,0,52.99852219,1
20,6,0.042,0.092,200,50,0.6,0,54.33795663,1
40,6,0.042,0.092,200,50,0.6,0,55.6920201,1
-40,0,0.084,0.092,200,50,0.6,0,7.690610084,1
-20,0,0.084,0.092,200,50,0.6,0,43.65405839,1
0,0,0.084,0.092,200,50,0.6,0,59.69310288,1
20,0,0.084,0.092,200,50,0.6,0,62.76972862,1
40,0,0.084,0.092,200,50,0.6,0,65.94659225,1
-40,2,0.084,0.092,200,50,0.6,0,4.851979067,1
-20,2,0.084,0.092,200,50,0.6,0,40.22452079,1
0,2,0.084,0.092,200,50,0.6,0,59.37370991,1
20,2,0.084,0.092,200,50,0.6,0,62.37598469,1
40,2,0.084,0.092,200,50,0.6,0,65.49441079,1
-40,4,0.084,0.092,200,50,0.6,0,2.476735315,1
-20,4,0.084,0.092,200,50,0.6,0,36.38557189,1
0,4,0.084,0.092,200,50,0.6,0,58.87396925,1
20,4,0.084,0.092,200,50,0.6,0,61.70527585,1
40,4,0.084,0.092,200,50,0.6,0,64.68134224,1
-40,6,0.084,0.092,200,50,0.6,0,1.594136059,1
-20,6,0.084,0.092,200,50,0.6,0,33.90142173,1
0,6,0.084,0.092,200,50,0.6,0,58.46424437,1
20,6,0.084,0.092,200,50,0.6,0,61.14311326,1
40,6,0.084,0.092,200,50,0.6,0,63.8512402,1
-40,0,0.168,0.092,200,50,0.6,0,13.24635777,1
-20,0,0.168,0.092,200,50,0.6,0,52.76058417,1
0,0,0.168,0.092,200,50,0.6,0,71.85340575,1
20,0,0.168,0.092,200,50,0.6,0,78.00665724,1
40,0,0.168,0.092,200,50,0.6,0,84.36038451,1
-40,2,0.168,0.092,200,50,0.6,0,10.05701313,1
-20,2,0.168,0.092,200,50,0.6,0,49.05549041,1
0,2,0.168,0.092,200,50,0.6,0,71.21461982,1
20,2,0.168,0.092,200,50,0.6,0,77.21916939,1
40,2,0.168,0.092,200,50,0.6,0,83.45602159,1
-40,4,0.168,0.092,200,50,0.6,0,7.299123758,1
-20,4,0.168,0.092,200,50,0.6,0,44.82728662,1
0,4,0.168,0.092,200,50,0.6,0,70.21513851,1
20,4,0.168,0.092,200,50,0.6,0,75.87775171,1
40,4,0.168,0.092,200,50,0.6,0,81.82988448,1
-40,6,0.168,0.092,200,50,0.6,0,6.341635361,1
-20,6,0.168,0.092,200,50,0.6,0,42.19795768,1
0,6,0.168,0.092,200,50,0.6,0,69.39568875,1
20,6,0.168,0.092,200,50,0.6,0,74.75342653,1
40,6,0.168,0.092,200,50,0.6,0,80.16968039,1
-40,0,0.042,0.023,300,50,0.6,0,-25.43841056,0
-20,0,0.042,0.023,300,50,0.6,0,-15.55985396,0
0,0,0.042,0.023,300,50,0.6,0,-10.78664856,0
20,0,0.042,0.023,300,50,0.6,0,-9.24833569,0
40,0,0.042,0.023,300,50,0.6,0,-7.659903874,0
-40,2,0.042,0.023,300,50,0.6,0,-26.23574672,0
-20,2,0.042,0.023,300,50,0.6,0,-16.4861274,0
0,2,0.042,0.023,300,50,0.6,0,-10.94634505,0
20,2,0.042,0.023,300,50,0.6,0,-9.445207653,0
40,2,0.042,0.023,300,50,0.6,0,-7.885994603,0
-40,4,0.042,0.023,300,50,0.6,0,-26.92521906,0
-20,4,0.042,0.023,300,50,0.6,0,-17.54317835,0
0,4,0.042,0.023,300,50,0.6,0,-11.19621537,0
20,4,0.042,0.023,300,50,0.6,0,-9.780562073,0
40,4,0.042,0.023,300,50,0.6,0,-8.29252888,0
-40,6,0.042,0.023,300,50,0.6,0,-27.16459116,0
-20,6,0.042,0.023,300,50,0.6,0,-18.20051058,0
0,6,0.042,0.023,300,50,0.6,0,-11.40107781,0
20,6,0.042,0.023,300,50,0.6,0,-10.06164337,0
40,6,0.042,0.023,300,50,0.6,0,-8.707579902,0
-40,0,0.084,0.023,300,50,0.6,0,-22.66053672,0
-20,0,0.084,0.023,300,50,0.6,0,-11.00659107,0
0,0,0.084,0.023,300,50,0.6,0,-4.706497125,0
20,0,0.084,0.023,300,50,0.6,0,-1.629871381,0
40,0,0.084,0.023,300,50,0.6,0,1.546992253,1
-40,2,0.084,0.023,300,50,0.6,0,-23.63322968,0
-20,2,0.084,0.023,300,50,0.6,0,-12.07064259,0
0,2,0.084,0.023,300,50,0.6,0,-5.025890092,0
20,2,0.084,0.023,300,50,0.6,0,-2.023615306,0
40,2,0.084,0.023,300,50,0.6,0,1.094810793,1
-40,4,0.084,0.023,300,50,0.6,0,-24.51402484,0
-20,4,0.084,0.023,300,50,0.6,0,-13.32232098,0
0,4,0.084,0.023,300,50,0.6,0,-5.525630747,0
20,4,0.084,0.023,300,50,0.6,0,-2.694324145,0
40,4,0.084,0.023,300,50,0.6,0,0.281742239,1
-40,6,0.084,0.023,300,50,0.6,0,-24.79084151,0
-20,6,0.084,0.023,300,50,0.6,0,-14.0522426,0
0,6,0.084,0.023,300,50,0.6,0,-5.935355627,0
20,6,0.084,0.023,300,50,0.6,0,-3.256486737,0
40,6,0.084,0.023,300,50,0.6,0,-0.548359804,0
-40,0,0.168,0.023,300,50,0.6,0,-17.10478903,0
-20,0,0.168,0.023,300,50,0.6,0,-1.900065289,0
0,0,0.168,0.023,300,50,0.6,0,7.453805751,1
20,0,0.168,0.023,300,50,0.6,0,13.60705724,1
40,0,0.168,0.023,300,50,0.6,0,19.96078451,1
